company,logo_url,extracted_company_name
Doug Gorr,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/Lilly.png,Lilly.png
Darryl Wright,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/SOUTHERN-COMPANY-AES-2022.png,SOUTHERN COMPANY AES 2022.png
Derrick A. Gyamfi,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/MGM-Resorts-International.png,MGM Resorts International.png
George Hellstern,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/LOCKHEED-MARTIN-AES-2022.png,LOCKHEED MARTIN AES 2022.png
Andrew Lowe,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/Rolls-Royce-2023.png,Rolls Royce
Bo Wooley,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/COCA-COLA-AES-2022.png,COCA COLA AES 2022.png
Darin Bolthouse,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/LOCKHEED-MARTIN-AES-2022.png,LOCKHEED MARTIN AES 2022.png
Daryl Tham,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/UNITED-AIRLINES-2024.png,UNITED AIRLINES 2024.png
Ryan Johnston,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/delta-2024.png,delta 2024.png
Jeffrey Berthiaume,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Southwest-2023.png,Southwest
James Cooper,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/RTX-2024-.png,RTX 2024 .png
Jeff Shein,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/Regeneron.png,Regeneron.png
Gene Feldman,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/NESTLE-PURINA-AES-2022.png,NESTLE PURINA AES 2022.png
Mohamed Abbas,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/TD-Bank-2023.png,TD Bank
Mitch Harvey,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Deckers-Brands.png,Deckers Brands.png
Rich Beaudrie,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Chick-fil-a-2023.png,Chick fil a
Ryan Porto,https://augmentedenterprisesummit.com/wp-content/uploads/2022/05/AES-2022-GENERAL-MOTORS.png,AES 2022 GENERAL MOTORS.png
Kyle Daughtry,https://augmentedenterprisesummit.com/wp-content/uploads/2023/01/2023-EXXON.png,2023 EXXON.png
Andy Hunt,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/HERSHEY-AES-2022.png,HERSHEY AES 2022.png
Muhammad Anwar,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/FORD-AES-2022.png,FORD AES 2022.png
John Rygg,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/AES-2022-KIEWET.png,AES 2022 KIEWET.png
Brian Melven,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/AES-2022-CBRE.png,AES 2022 CBRE.png
Amanda Clarida,https://augmentedenterprisesummit.com/wp-content/uploads/2023/06/2023-Volvo-V1.png,2023 Volvo V1.png
Paul Davies,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Scott Burch,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Alaska-Airlines-2023.png,Alaska Airlines
Janet Ann,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Alaska-Airlines-2023.png,Alaska Airlines
Joey Eller,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/2024-Whiting-Turner.png,2024 Whiting Turner.png
Jim Kessler,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JACOBS-AES-2022.png,JACOBS AES 2022.png
Chris McGlone,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/ABBOTT-AES-2022.png,ABBOTT AES 2022.png
Kaylee Brown,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Pearson.png,2024 Pearson.png
Athicha Dhanormchitphong,https://augmentedenterprisesummit.com/wp-content/uploads/2023/01/2023-EXXON.png,2023 EXXON.png
David Yin,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/PACCAR-2023.png,PACCAR
Dr. Matt Law,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-grainger.png,2024 grainger.png
Joel Honeyman,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Bobcat-Company.png,Bobcat Company.png
Kurt Scheuringer,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/AMAZON-WEB-SERVICES-AES-2022.png,AMAZON WEB SERVICES AES 2022.png
Andreas Oeder,https://augmentedenterprisesummit.com/wp-content/uploads/2022/05/AES-2022-AIRBUS.png,AES 2022 AIRBUS.png
Niki Poonawala,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/Worley-2023.png,Worley
Pascal Goldschmidt,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-lennar.png,2024 lennar.png
Zachary Peters,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-komatsu.png,2024 komatsu.png
Rajat Lokesh,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/Schlumberger-2023.png,Schlumberger
Jenny Taylor,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/DUKE-ENERGY-AES-2022-V1.png,DUKE ENERGY AES 2022 V1.png
Eamonn Powers,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Bombadier.png,2024 Bombadier.png
Anne Emberson,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/ecolab-2024.png,ecolab 2024.png
Greg Scott,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/2024-CDW.png,2024 CDW.png
Bharat Sharma,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-CSX.png,2024 CSX.png
Kate Donovan,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/Boston-Childrens-Hospital-v2.png,Boston Childrens Hospital v2.png
Ricardo Narciso Schiochet,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/Kimberly-Clark-2023.png,Kimberly Clark
Matthew Sagaser,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Bobcat-Company.png,Bobcat Company.png
Michael Hammond,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/2023-TREK.png,2023 TREK.png
Cody Murtle,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Amentum.png,Amentum.png
Tommy Kopec,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Zimmer-Biomet.png,2024 Zimmer Biomet.png
Tim Biery,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-niagra.png,2024 niagra.png
Lorna Jean Marcuzzo,https://augmentedenterprisesummit.com/wp-content/uploads/2022/09/MILLERKNOLL-AES-2022.png,MILLERKNOLL AES 2022.png
Paul Davies,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Brent Dingle,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/RTX-2024-.png,RTX 2024 .png
Colleen Tully,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/MEDTRONIC-AES-2022.png,MEDTRONIC AES 2022.png
David Doan,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/Genetech-Inc-2024.png,Genetech Inc 2024.png
Michal Wojtak,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-MORTENSON2.png,2023 MORTENSON2.png
Greg Gallimore,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Gensler-Logo.png,Gensler Logo.png
Barry Prewitt,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-Stryker.png,2024 Stryker.png
Melissa Demsky,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/Veolia.png,Veolia.png
Hameed Madwar,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BRIDGESTONE-AES-2022-1.png,BRIDGESTONE AES 2022 1.png
Michael Hayat,https://augmentedenterprisesummit.com/wp-content/uploads/2022/04/NORTHROP-GRUMMAN-AES-2022.png,NORTHROP GRUMMAN AES 2022.png
Nicholas Castillo,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/RTX-2024-.png,RTX 2024 .png
 Ed Moore,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/CHEVRON-AES-2022.png,CHEVRON AES 2022.png
Guy Messick,https://augmentedenterprisesummit.com/wp-content/uploads/2024/04/ia-architechts-2024.png,ia architechts 2024.png
Trent Randles,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/2024-BorgWarner.png,2024 BorgWarner.png
Kenneth Coulter,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/HDR-2024.png,HDR 2024.png
Murphy Ownbey,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Koch-Industries.png,2024 Koch Industries.png
Isaac Jones,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/LOCKHEED-MARTIN-AES-2022.png,LOCKHEED MARTIN AES 2022.png
Brian Laughlin,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Benjamin C. Thompson,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/BOEING-AES-2022.png,BOEING AES 2022.png
Dustin Sleight,https://augmentedenterprisesummit.com/wp-content/uploads/2024/03/AES-2024-WEBSITE-SPKRSPEX-IMAGELOGO-TEMPLATE.png,AES 2024 WEBSITE SPKRSPEX IMAGELOGO TEMPLATE.png
Hugh Soward,https://augmentedenterprisesummit.com/wp-content/uploads/2024/02/OPN-Architects.png,OPN Architects.png
Victoria Korzhova,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca
Sana Naveed,https://augmentedenterprisesummit.com/wp-content/uploads/2023/04/AstraZeneca-2023.png,AstraZeneca
Adam Berg,https://augmentedenterprisesummit.com/wp-content/uploads/2023/02/TechnicFMC-2023.png,TechnicFMC
Jean-Baptiste Farge,https://augmentedenterprisesummit.com/wp-content/uploads/2022/03/SUBSEA-7-AES-2022.png,SUBSEA 7 AES 2022.png
Nethra Ram Mohan,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-hks.png,2024 hks.png
 Osman Koc,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/Gensler-Logo.png,Gensler Logo.png
Allison Flavin,https://augmentedenterprisesummit.com/wp-content/uploads/2022/02/JACOBS-AES-2022.png,JACOBS AES 2022.png
Tim Van Alstine,https://augmentedenterprisesummit.com/wp-content/uploads/2023/09/2023-i3.png,2023 i3.png
Andrew Garney,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-META.png,2023 META.png
Jake Hamann,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-ENTEVATE.png,2024 ENTEVATE.png
Thaisa Yamamura,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/Sony.png,Sony.png
Manuel Fradinho Oliveira,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-KIT-AR.png,2024 KIT AR.png
Brad Scoggin,https://augmentedenterprisesummit.com/wp-content/uploads/2023/03/2023-ARBORXR-SPEX.png,2023 ARBORXR SPEX.png
Itzhak Pichadze,https://augmentedenterprisesummit.com/wp-content/uploads/2024/05/frontline-2024.png,frontline 2024.png
Elizabeth Heyman,https://augmentedenterprisesummit.com/wp-content/uploads/2023/08/2023-xr-association.png,2023 xr association.png
Hadi Nsouli,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/2024-TMOBILE-logo.png,2024 TMOBILE logo.png
Mark Sage,https://augmentedenterprisesummit.com/wp-content/uploads/2022/07/AES-2022-AREA.png,AES 2022 AREA.png
Dmitri Bagh,https://augmentedenterprisesummit.com/wp-content/uploads/2023/05/Safe-Software-2023.png,Safe Software
Don Murray,https://augmentedenterprisesummit.com/wp-content/uploads/2023/05/Safe-Software-2023.png,Safe Software
Randy Nunez,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Nunez-Consulting.png,2024 Nunez Consulting.png
Ashley Cowder,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-VNTANA-LOGO-Blue.png,2024 VNTANA LOGO Blue.png
Annie Eaton,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-FUTURS-1.png,2024 FUTURS 1.png
Kristen Naeini,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/RealWear.png,RealWear.png
Jay Wright,https://augmentedenterprisesummit.com/wp-content/uploads/2023/10/Campfire.png,Campfire.png
Patrick Candela,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Reulay-Black-Logo.png,2024 Reulay Black Logo.png
Troy Wood,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/VIVE.png,VIVE.png
Adrian Hatch,https://augmentedenterprisesummit.com/wp-content/uploads/2023/08/Sitelink-2023.png,Sitelink
Sean McCoy,https://augmentedenterprisesummit.com/wp-content/uploads/2022/10/CBT-AES-2022.png,CBT AES 2022.png
Krissa Watry,https://augmentedenterprisesummit.com/wp-content/uploads/2024/07/2024-Dynepic.png,2024 Dynepic.png
Matias Koski,https://augmentedenterprisesummit.com/wp-content/uploads/2024/06/2024-Immersal.png,2024 Immersal.png
Shelley Peterson,https://augmentedenterprisesummit.com/wp-content/uploads/2022/10/BRAINXCHANGE-AES-2022.png,BRAINXCHANGE AES 2022.png
Susanne Haspinger,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/Hololight.png,Hololight.png
Justin Mullin,https://augmentedenterprisesummit.com/wp-content/uploads/2022/09/FROM-THE-FUTURE-AES-2022-1.png,FROM THE FUTURE AES 2022 1.png
Lorne Novolker,https://augmentedenterprisesummit.com/wp-content/uploads/2024/09/Calian-1.png,Calian 1.png
Purnendu Mukherjee,https://augmentedenterprisesummit.com/wp-content/uploads/2024/08/2024-Convai.png,2024 Convai.png
